Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
6.6,-12.1,25,93700,184,1415,231,0,0,0,0,0,0,0,338,4,10,8,32,7620,9,0,139,0.067,0,88,0.17,0,1
6.1,-11.3,28,93700,10,413,231,0,0,0,0,0,0,0,360,4,10,9,19.2,7620,9,0,139,0.067,0,88,0.17,0,1
5.7,-10.5,30,93700,0,0,232,0,0,0,0,0,0,0,360,2,10,10,19.2,2438,9,0,139,0.067,0,88,0.17,0,1
5.2,-9.8,33,93700,0,0,231,0,0,0,0,0,0,0,338,3,10,10,19.2,914,9,0,139,0.067,0,88,0.17,0,1
4.5,-9.8,35,93700,0,0,229,0,0,0,0,0,0,0,338,2,10,10,19.2,853,9,0,150,0.067,0,88,0.17,0,1
4,-8.4,40,93700,0,0,230,0,0,0,0,0,0,0,360,3,10,10,19.2,640,9,0,150,0.067,0,88,0.17,0,1
3.7,-8.4,41,93700,0,0,229,0,0,0,0,0,0,0,23,3,10,10,19.2,1067,9,0,150,0.067,0,88,0.17,0,1
3.2,-7.8,44,93700,0,0,228,0,0,0,0,0,0,0,360,1,10,10,19.2,792,9,0,150,0.067,0,88,0.17,0,1
3.1,-8.4,43,93700,0,0,227,0,0,0,0,0,0,0,338,1,10,10,19.2,1524,9,0,150,0.067,0,88,0.17,0,1
1.8,-6.6,54,93700,0,0,226,0,0,0,0,0,0,0,338,1,10,10,19.2,853,9,0,150,0.067,0,88,0.17,0,1
2.9,-7.8,45,93700,0,0,227,0,0,0,0,0,0,0,360,1,10,10,19.2,610,9,0,150,0.067,0,88,0.17,0,1
2.1,-7.2,50,93700,0,0,226,0,0,0,0,0,0,0,338,1,10,10,19.2,732,9,0,150,0.067,0,88,0.17,0,1
